ngroup ra dec z mag color delta Delta pval_ds ngal sw_gal sf_gal ad_gal cvm_gal lillie_gal pearson_gal sw_cum sf_cum ad_cum cvm_cum lillie_cum pearson_cum col_cum mag_cum ind_cum id
55553339 174.2882080078 52.7467803955 0.0416349992 15.0727443695 0.7566413879 1.27585045949536 1.39968902919748 0 95 0.216616630897816 0.257055073614286 0.140673934863251 0.108060290669721 0.0811652475565652 0.078553159836798 0.0296179162589971 0.0668543533957638 0.0474104189639179 0.0876853297159886 0.226390106395172 0.0926253116662712 0.72399972614421 14.695145607 -1 0
66612467 48.0837631226 1.013160944 0.0285429992 16.2737846375 0.7534751892 0.603085091434234 1.53116174040777 0 136 0.172090812052415 0.232001650346961 0.199748643603429 0.235121986268334 0.274386438595551 0.572406704470879 0.0563215879887284 0.076709676813093 0.0347958884201041 0.0344873957370696 0.0344823636503796 0.426972765997814 0.714039809561765 14.6520910263 6 0
8882984 195.884475708 49.5156974792 0.0214779992 15.375825882 0.750509261999998 1.53864102784606 1.37340795973324 0 210 0.98061384000593 0.875855563601505 0.908679316605271 0.924995474824397 0.972131613818895 0.849467033391825 0.368097605170358 0.600585369612931 0.573422241876623 0.654884510698215 0.793086071382121 0.698705552263535 0.68911875316 14.5124826431 -1 0
66661788 197.2166595459 54.4429664612 0.0278760009 16.5038318634 0.7154693604 1.24034601325825 1.3252812473224 0.0666666666666667 131 0.211982132865801 0.344279538372451 0.254695359240683 0.271966512446819 0.370321210270257 0.361805027497532 0.825417936158882 0.93895459497097 0.946996686654088 0.937597619239904 0.913095832812458 0.983436391519386 0.721081609942748 14.5881881714 -1 0
44459746 167.7272644043 34.4536170959 0.0246610008 17.539358139 0.667022705099999 0.254536666597313 1.3252812473224 0.0333333333333333 131 0.0725679143581987 0.0760446057547381 0.0874382783203118 0.100002160108759 0.122949509619382 0.0267466361220885 0.825417936158882 0.93895459497097 0.946996686654088 0.937597619239904 0.913095832812458 0.983436391519386 0.721081609942748 14.5881881714 -1 0
22214684 24.3007450104 13.772816658 0.0756520033 17.3664836884 0.700443267800001 0.443893544793781 1.1046971182516 0.4 36 0.822021712861552 0.800834284462211 0.859887796661171 0.899411946247478 0.841290686486309 0.849467033391825 0.763842765181135 0.810867061264256 0.733468434686339 0.653635920566572 0.554223073815987 0.423190081126844 0.709921439491667 14.5046253204 3 0
777416 229.9185180664 59.3036499023 0.0119550005 14.9878826141 0.7300796509 2.58338789829046 2.23427955039953 0 44 0.866060983661879 0.868677880448174 0.828917074293082 0.813958710240479 0.71147883861752 0.849467033391825 0.817737973062062 0.865069833276188 0.804876131357435 0.728848832192171 0.331358933974336 0.239864567479786 0.654067863106818 14.7042856216 1 0
222298 172.3469696045 60.7288856506 0.0425539985 17.5800514221 0.772192001400001 0.632730223446687 1.58894985716355 0 169 0.183833853694428 0.265828548320304 0.207669769856576 0.21094477055234 0.139329920849214 0.572406704470879 0.128575533633066 0.263078246737829 0.263672273311946 0.375915050489419 0.447791616936748 0.565310845870475 0.698049584787574 14.8045749664 10 1
44449894 143.0321502686 3.4990530014 0.0420930013 17.3928947449 0.764268875099997 2.07504321632316 1.39968902919748 0.0333333333333333 95 0.348037141115684 0.38691008219044 0.387939711012451 0.37576628863254 0.572548992684834 0.572406704470879 0.0296179162589971 0.0668543533957638 0.0474104189639179 0.0876853297159886 0.226390106395172 0.0926253116662712 0.72399972614421 14.695145607 -1 1
66619488 121.075553894 47.4709281921 0.0775519982 17.3763599396 0.714035034199998 1.86615576489777 2.03409166470013 0 79 0.171812230936255 0.268865060023771 0.177332968934666 0.193180440846997 0.513792664102232 0.221385387189488 0.0274730058122729 0.0771998544281367 0.0686162904157165 0.130788737650215 0.0186844481209732 0.0463897176927716 0.708554774897468 14.7412080765 4 0
66610514 115.3519363403 40.6983375549 0.0258649997 17.3250923157 0.6846427917 1.73118430141986 1.81281173227258 0 79 0.219036495772663 0.270330245715701 0.219379424815286 0.233302515290555 0.175885444294924 0.221385387189488 0.0155031347837752 0.0358942917775802 0.0111013938623081 0.016572344253508 0.0522215624096361 0.313915318431479 0.702468135688608 14.5619621277 4 0
8887762 202.3598175049 27.5578384399 0.0541150011 15.6940536499 0.767372131299998 1.14817705897067 2.78865419102803 0 251 0.0374993637221043 0.0369001851530558 0.0302275081881489 0.0281112688097142 0.069396253969307 0.221385387189488 0.0319767722249824 0.0519219352355557 0.00501154339984339 0.00541722776631073 0.00683292474202031 0.0129758036889016 0.690670598552988 14.5534944534 6 0
11155010 232.658782959 3.4541900158 0.0368480012 16.8917274475 0.572942733800001 2.4206778260835 1.39968902919748 0.0333333333333333 95 0.0620568346326811 0.0462003364376161 0.120917953194185 0.21976879700332 0.509148864375469 0.078553159836798 0.0296179162589971 0.0668543533957638 0.0474104189639179 0.0876853297159886 0.226390106395172 0.0926253116662712 0.72399972614421 14.695145607 -1 0
3332586 229.6066436768 0.5908910036 0.0215419997 16.2446880341 0.370195388799999 2.75550888366739 2.07119345950258 0 274 0.0625298254578944 0.103306795122151 0.0843787364911661 0.10821769363709 0.210099875492899 0.0154548272168578 0.0428576321484372 0.0593886526720329 0.0181112929218018 0.0200982785351575 0.019889487496934 0.23228974636726 0.657729145385402 14.5241107941 10 0
66610380 145.4123840332 32.663520813 0.0437569991 16.8696746826 0.757389068600002 0.461130551825519 1.34533029128976 0.0666666666666667 117 0.693969756530611 0.854625914197348 0.802369857194585 0.863923600908457 0.914427930479051 0.849467033391825 0.0339724536977695 0.104998323072762 0.215343162465925 0.393685794041506 0.351184139365704 0.75173650457246 0.663702932182051 14.814365387 -1 1
22241114 235.8470916748 26.8057155609 0.0608259998 17.6934299469 0.719278335599999 0.835542271154336 1.49879037089704 0 142 0.810536568634043 0.558148541536251 0.611859171211907 0.630265277601567 0.306423733465707 0.572406704470879 0.421188876561396 0.601983261893506 0.627947898532803 0.808537752580947 0.708157436981108 0.679919335887116 0.682457802998591 14.9124984741 10 1
8882984 195.0994110107 49.2904701233 0.0214290004 16.4764976501 0.567869186399999 0.928102686733068 1.37340795973324 0 210 0.465503347014032 0.62566824019907 0.561090484761435 0.73239691668492 0.534956785191379 0.361805027497532 0.368097605170358 0.600585369612931 0.573422241876623 0.654884510698215 0.793086071382121 0.698705552263535 0.68911875316 14.5124826431 -1 0
7772150 230.5062561035 37.5998382568 0.0254250001 15.5073127747 0.7193069458 1.05096776677038 1.57694451782609 0.0333333333333333 99 0.24868832366432 0.271483295884901 0.199605512931016 0.160675812474255 0.2071524580924 0.132778358022231 0.319817051001985 0.524343785760213 0.49338873083174 0.565099221583839 0.331575086603883 0.703345252592817 0.678411165867677 14.5316858292 5 0
8882984 194.7498321533 48.4799079895 0.0243350007 17.2785491943 0.551206588800003 2.61073344023813 1.37340795973324 0 210 0.863057039169305 0.684584642052871 0.78435779855434 0.826235895276768 0.75047916017596 0.849467033391825 0.368097605170358 0.600585369612931 0.573422241876623 0.654884510698215 0.793086071382121 0.698705552263535 0.68911875316 14.5124826431 -1 0
55556588 249.7874755859 42.5851478577 0.060738001 17.1228313446 0.7373638153 0.478985502480335 1.25840217480473 0.0666666666666667 103 0.170576869512429 0.278764257054536 0.183766227761648 0.173095234619136 0.28406367193535 0.132778358022231 0.00222568746914704 0.00805573151229638 0.00261593583553507 0.00586192179618057 0.0127217913297566 0.0174350575864617 0.689105367196117 15.0085897446 -1 0
11140048 146.3729553223 26.9535961151 0.0611210018 17.5059490204 0.756631851200002 0.20648051190869 1.50054182867553 0 142 0.941791491829435 0.971365671188253 0.933338598729316 0.961380603532083 0.97180627026845 0.849467033391825 0.421188876561396 0.601983261893506 0.627947898532803 0.808537752580947 0.708157436981108 0.679919335887116 0.682457802998591 14.9124984741 15 0
66612467 48.2825202942 0.7836920023 0.0255789999 14.8126535416 0.7762832641 1.82548003159085 1.53116174040777 0 136 0.469732841184555 0.247247769716278 0.385472592428593 0.429089019506017 0.221624136948355 0.572406704470879 0.0563215879887284 0.076709676813093 0.0347958884201041 0.0344873957370696 0.0344823636503796 0.426972765997814 0.714039809561765 14.6520910263 6 1
66661592 192.2789611816 57.0913467407 0.0299779996 17.2034511566 0.4106998444 0.427957946665973 0.900167773851966 0.766666666666667 109 0.263371452472849 0.424173016265011 0.34958671081209 0.404983847544434 0.686070058050004 0.361805027497532 0.000199166865226816 0.000928941776462545 3.56434797471259e-05 0.000138415869333433 0.0013055140390881 0.00105097445272194 0.677440065858716 14.5400190353 -1 0
11133168 156.3366394043 27.973690033 0.0665320009 16.0850467682 0.747098922699998 1.08258428696702 1.40614075966066 0.0333333333333333 58 0.54991887129107 0.605587766486405 0.572942944022709 0.6478041021296 0.600358287636688 0.361805027497532 0.248484979870066 0.370950404524229 0.166217327013029 0.140182818493744 0.152071998052646 0.128232495459308 0.710182436581034 14.8873796463 -1 0
5551510 318.2943725586 0.8419039845 0.0320079997 16.6379814148 0.776489257800002 1.19925589178751 1.53116174040777 0 136 0.350068303854272 0.476662233580329 0.402272414645626 0.467755226384284 0.301827672024338 0.572406704470879 0.0563215879887284 0.076709676813093 0.0347958884201041 0.0344873957370696 0.0344823636503796 0.426972765997814 0.714039809561765 14.6520910263 6 1
7774845 205.3741455078 40.8288612366 0.0265999995 16.6435871124 0.663766861000003 1.82628367565615 1.81281173227258 0 79 0.616687163935187 0.809793287882512 0.711464044638502 0.780740749740918 0.783759166397942 0.361805027497532 0.0155031347837752 0.0358942917775802 0.0111013938623081 0.016572344253508 0.0522215624096361 0.313915318431479 0.702468135688608 14.5619621277 5 0
2226619 138.6003875732 1.1628750563 0.0234340001 17.5286426544 0.736814498900003 1.42709302088845 2.07119345950258 0 274 0.975209749109002 0.925069337117333 0.895204765405193 0.879589749860233 0.96299234623721 0.572406704470879 0.0428576321484372 0.0593886526720329 0.0181112929218018 0.0200982785351575 0.019889487496934 0.23228974636726 0.657729145385402 14.5241107941 10 0
7774671 235.3875579834 32.6364212036 0.0445430018 16.3603878021 0.719848632800002 1.21597324258749 1.34406291127327 0 117 0.81278115788987 0.920800341120355 0.851317084313099 0.858624889769221 0.862302475483321 0.221385387189488 0.0339724536977695 0.104998323072762 0.215343162465925 0.393685794041506 0.351184139365704 0.75173650457246 0.663702932182051 14.814365387 -1 0
55556588 249.5368041992 42.6308097839 0.0632800013 17.7523593903 0.725107192999999 0.930546786950508 1.25840217480473 0.0666666666666667 103 0.631608708296979 0.611756543725568 0.621901354485625 0.655896644471417 0.748013747216466 0.361805027497532 0.00222568746914704 0.00805573151229638 0.00261593583553507 0.00586192179618057 0.0127217913297566 0.0174350575864617 0.689105367196117 15.0085897446 -1 1
6665659 144.0390167236 27.7957305908 0.0156020001 15.7975664139 0.753998756400001 1.67034142113674 1.11072478083775 0.166666666666667 36 0.00721985026450104 0.0123524657771052 0.00698291777778656 0.00918301986532016 0.0289482409175801 0.0460117056892314 0.0201091528341914 0.0581606209165342 0.0275342484327844 0.0386839056748166 0.130951463794585 0.3695666683961 0.643209510383333 14.5575151443 -1 0
4441597 179.7199554443 40.2357330322 0.0237109996 15.0882263184 0.6789894104 2.17308700755415 1.72525198218609 0 275 0.662531350587212 0.745726122094336 0.631567497428852 0.673027620613878 0.44269348156952 0.572406704470879 0.292043854712225 0.533506865925292 0.671892312574172 0.780730237076425 0.486260443509899 0.204287274925554 0.695836798931273 14.5827312469 -1 1
2226619 139.3393249512 2.4640049934 0.0253899992 17.6308670044 0.674972534200002 1.73616079916098 2.07119345950258 0 274 0.550574054816392 0.732959906950221 0.553741996865164 0.560034244670575 0.6805380337523 0.572406704470879 0.0428576321484372 0.0593886526720329 0.0181112929218018 0.0200982785351575 0.019889487496934 0.23228974636726 0.657729145385402 14.5241107941 10 1
77711705 165.3572845459 5.176902771 0.0277890004 16.4682178497 0.609949111999999 2.0242493181805 1.80945363452916 0 219 0.879842919457396 0.934794244083635 0.844586599486458 0.789131925470034 0.610872823963774 0.849467033391825 0.14960536151229 0.3060738668686 0.393241822399279 0.47760378439387 0.703719318768516 0.38296266899174 0.706810337218265 14.5669536591 -1 1
4441597 179.6136779785 40.0418434143 0.0286529996 15.7518491745 0.7619180679 0.70783147475454 1.72525198218609 0 275 0.215764203605025 0.145149220213931 0.282116918187136 0.358631511438024 0.4501626930239 0.572406704470879 0.292043854712225 0.533506865925292 0.671892312574172 0.780730237076425 0.486260443509899 0.204287274925554 0.695836798931273 14.5827312469 -1 1
11155010 233.2725372314 3.5261540413 0.0392200015 16.4484195709 0.765399932899999 1.3149896388722 1.39968902919748 0.0333333333333333 95 0.856033804631612 0.832597451026927 0.738943696481366 0.684560147356973 0.658488244050855 0.132778358022231 0.0296179162589971 0.0668543533957638 0.0474104189639179 0.0876853297159886 0.226390106395172 0.0926253116662712 0.72399972614421 14.695145607 -1 1
55538647 167.8160095215 19.6641407013 0.0528860018 17.0668697357 0.765583038300001 1.13219087418814 1.03773188165379 0.366666666666667 73 0.437391252510652 0.56329155933351 0.439571100339135 0.389807499045739 0.256575347604924 0.572406704470879 0.0137416196288687 0.0318834117142395 0.0086996272217002 0.0103002269946544 0.0316363830140778 0.16384988305453 0.704930501439726 14.5962085724 -1 1
4441597 179.6583557129 39.8254928589 0.022078 17.3795280457 0.748449325500001 1.23801625425233 1.72525198218609 0 275 0.134419700894528 0.212420186255024 0.118669817473002 0.108468588458316 0.0984256592253571 0.132778358022231 0.292043854712225 0.533506865925292 0.671892312574172 0.780730237076425 0.486260443509899 0.204287274925554 0.695836798931273 14.5827312469 -1 1
2226619 139.4453735352 1.4843620062 0.02159 16.5042991638 0.6305332184 1.94928093286426 2.07119345950258 0 274 0.388165686440901 0.261680359077805 0.291820810958288 0.237474633501185 0.0898550864051295 0.572406704470879 0.0428576321484372 0.0593886526720329 0.0181112929218018 0.0200982785351575 0.019889487496934 0.23228974636726 0.657729145385402 14.5241107941 10 0
88811640 228.3766174316 0.7553880215 0.0266050007 16.7850856781 0.749341964700001 1.10280220907772 1.56140917506553 0 139 0.025813265046945 0.0220046708372734 0.0307833552349462 0.0328435307212984 0.0310649682013931 0.0460117056892314 0.0489488454726546 0.065678582831653 0.0286184165167108 0.0284582522864614 0.0259268428179762 0.381181492332921 0.713906192090648 14.5016288757 7 1
3335006 131.6965179443 43.8737869263 0.0422349982 16.187379837 0.744781494199998 2.91319468851722 1.34212180795343 0.0333333333333333 117 0.434507959703834 0.477320967610416 0.452621781720614 0.485185070373531 0.237980756831043 0.361805027497532 0.0339724536977695 0.104998323072762 0.215343162465925 0.393685794041506 0.351184139365704 0.75173650457246 0.663702932182051 14.814365387 -1 0
11140048 146.3395996094 26.773229599 0.0607319996 17.5076618195 0.435104370099999 2.28984054950041 1.50054182867553 0 142 0.759500851643563 0.922174038813396 0.855833082279468 0.873194839571598 0.918089746399317 0.849467033391825 0.421188876561396 0.601983261893506 0.627947898532803 0.808537752580947 0.708157436981108 0.679919335887116 0.682457802998591 14.9124984741 15 0
3334216 231.3765716553 -1.0603729486 0.0236450005 16.7064056396 0.745094299400002 2.16028158560874 1.11940577478401 0.233333333333333 88 0.3798844545581 0.413969133153129 0.496124162144159 0.541403801895794 0.683754263690522 0.572406704470879 0.00363902533284184 0.0104376183693854 0.000764497729327682 0.00117180388672259 0.0071494655453408 0.00340089292408298 0.689236705964773 14.7110738754 -1 0
88852296 137.9991760254 39.430896759 0.0398809984 16.7229976654 0.782033920299998 1.39055110539569 1.49209885261986 0.0333333333333333 62 0.33985346498255 0.155348955149214 0.164337546489755 0.133143578889589 0.0632293415496662 0.0267466361220885 0.919176219267058 0.781681458560195 0.752592375612812 0.675980805692727 0.766617609219144 0.973294753978005 0.719267475995161 14.6018457413 -1 0
66658460 243.8840026855 45.6215934753 0.019142 15.8469562531 0.761219024599999 2.52216948886996 1.70276100265791 0 136 0.475959105828052 0.403433913448789 0.423777355834081 0.38301252626054 0.18279584666262 0.361805027497532 0.022187768871028 0.0629132328055504 0.0450255949465018 0.0561775392712481 0.0342070211978912 0.28684433886127 0.684648576899265 14.5174999237 -1 0
6665941 11.4858560562 0.1473069936 0.0457910001 17.54621315 0.643909454399999 2.76689780022271 1.41448236140632 0 138 0.440510062013797 0.593265737632694 0.549433145330694 0.704653156552701 0.875786935699526 0.361805027497532 0.166062553808467 0.303292566913724 0.147511107567508 0.109686379310159 0.0394720161816454 0.195251375863571 0.693122704822464 14.7882070541 -1 0
66612467 48.3766059875 0.7553880215 0.0266050007 16.7850856781 0.749341964700001 1.06254689554406 1.53116174040777 0 136 0.025813265046945 0.0220046708372734 0.0307833552349462 0.0328435307212984 0.0310649682013931 0.0460117056892314 0.0563215879887284 0.076709676813093 0.0347958884201041 0.0344873957370696 0.0344823636503796 0.426972765997814 0.714039809561765 14.6520910263 6 1
55560355 155.2136993408 45.3045196533 0.0221069995 17.0479297638 0.5046653747 1.78540527947166 1.70276100265791 0 136 0.158100115453569 0.272789614092422 0.261836456454764 0.372027549878693 0.757355479168783 0.221385387189488 0.022187768871028 0.0629132328055504 0.0450255949465018 0.0561775392712481 0.0342070211978912 0.28684433886127 0.684648576899265 14.5174999237 -1 1
2226619 138.506652832 1.0303499699 0.0238879994 14.7066287994 0.744981765799999 2.16380717727533 2.07119345950258 0 274 0.211855175303715 0.244237335793705 0.129664599811021 0.100939694481514 0.173321237363462 0.221385387189488 0.0428576321484372 0.0593886526720329 0.0181112929218018 0.0200982785351575 0.019889487496934 0.23228974636726 0.657729145385402 14.5241107941 10 0
8885165 191.2986907959 0.2678579986 0.0455820002 16.51080513 0.6439876556 1.36141410038169 1.41448236140632 0 138 0.12285401493064 0.161159485161713 0.14391618829396 0.146065864091527 0.269208021821434 0.361805027497532 0.166062553808467 0.303292566913724 0.147511107567508 0.109686379310159 0.0394720161816454 0.195251375863571 0.693122704822464 14.7882070541 -1 1
5551510 318.5233459473 0.0740830004 0.0261129998 17.4350204468 0.492729187000002 3.21589161019389 1.53116174040777 0 136 0.4720647475062 0.509710627356308 0.304437831254022 0.227322824393425 0.306903000333085 0.132778358022231 0.0563215879887284 0.076709676813093 0.0347958884201041 0.0344873957370696 0.0344823636503796 0.426972765997814 0.714039809561765 14.6520910263 6 0
